Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,1uF,C_0402_1005Metric,12.977,21.1432,0.0,top
C12,10uF,C_0402_1005Metric,28.852,6.335,180.0,top
C13,10uF,C_0402_1005Metric,20.978,1.509,90.0,top
C14,0.1uF,C_0402_1005Metric,8.7806,11.0848,0.0,top
C15,0.1uF,C_0402_1005Metric,28.852,7.351,180.0,top
C16,0.1uF,C_0402_1005Metric,10.9704,19.0604,-90.0,top
C17,10uF,C_0402_1005Metric,5.9698,30.8806,-90.0,top
C18,0.1uF,C_0402_1005Metric,22.2226,22.3878,-90.0,top
C19,NC,C_0402_1005Metric,28.598,2.7536,180.0,top
C2,1uF,C_0402_1005Metric,23.1624,22.3878,-90.0,top
C20,10uF,C_0402_1005Metric,3.5588,29.3312,0.0,top
C21,220pF,C_0402_1005Metric,4.9538,30.8806,-90.0,top
C22,10uF,C_0402_1005Metric,3.9378,34.4496,-90.0,top
C23,220pF,C_0402_1005Metric,7.4958,29.3566,0.0,top
C24,10uF,C_0402_1005Metric,9.5258,32.7276,90.0,top
C25,10uF,C_0402_1005Metric,9.955,34.97,180.0,top
C26,1uF,C_0402_1005Metric,3.5536,36.053,0.0,top
C27,10uF,C_0402_1005Metric,24.788,37.196,90.0,top
C28,0.1uF,C_0402_1005Metric,13.4596,35.1386,-90.0,top
C29,0.1uF,C_0402_1005Metric,24.788,39.101,-90.0,top
C3,0.1uF,C_0402_1005Metric,35.004,42.53,0.0,top
C30,220pF,C_0402_1005Metric,6.627,37.196,-90.0,top
C31,12pF,C_0402_1005Metric,19.708,41.387,-90.0,top
C32,12pF,C_0402_1005Metric,24.788,41.006,90.0,top
C33,0.1uF,C_0402_1005Metric,22.248,26.782,90.0,top
C34,0.1uF,C_0402_1005Metric,17.2188,26.782,90.0,top
C35,0.1uF,C_0402_1005Metric,26.0,30.25,90.0,top
C36,1uF,C_0402_1005Metric,1.567,13.574,90.0,top
C37,10uF,C_0402_1005Metric,9.802,40.4,-90.0,top
C38,1uF,C_0402_1005Metric,2.583,13.574,90.0,top
C39,10uF,C_0402_1005Metric,10.818,40.4,-90.0,top
C4,0.1uF,C_0402_1005Metric,19.708,39.482,-90.0,top
C41,0.1uF,C_0402_1005Metric,21.994,1.509,90.0,top
C42,0.1uF,C_0402_1005Metric,8.7806,5.827,0.0,top
C43,0.1uF,C_0402_1005Metric,28.598,11.796,90.0,top
C44,0.1uF,C_0402_1005Metric,16.406,1.509,90.0,top
C45,0.1uF,C_0402_1005Metric,26.312,20.559,-135.0,top
C46,0.1uF,C_0402_1005Metric,25.55,21.702,-135.0,top
C47,0.1uF,C_0402_1005Metric,24.153,1.509,90.0,top
C48,0.1uF,C_0402_1005Metric,28.852,5.319,180.0,top
