Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R3,"5.1k,1%",R_0402_1005Metric,6.921,20.559,180.0,top
R30,"8.06k,1%",R_0402_1005Metric,34.4,33.1,90.0,top
R31,"10k,1%",R_0402_1005Metric,31.8,30.5,180.0,top
R32,"150k,1%",R_0402_1005Metric,2.3088,28.3406,180.0,top
R33,"33k,1%",R_0402_1005Metric,4.3408,28.3406,0.0,top
R34,"10k,1%",R_0402_1005Metric,8.1508,29.3566,180.0,top
R35,"20k,1%",R_0402_1005Metric,4.3408,29.3566,180.0,top
R37,"20k,1%",R_0402_1005Metric,1.333,15.606,90.0,top
R38,"33k,1%",R_0402_1005Metric,0.317,15.606,90.0,top
R39,"33k,1%",R_0402_1005Metric,2.3036,37.069,0.0,top
R4,"5.1k,1%",R_0402_1005Metric,23.5,34.25,-90.0,top
R40,"20k,1%",R_0402_1005Metric,4.0816,37.0944,45.0,top
R5,"10k,1%",R_0402_1005Metric,12.108,24.1658,90.0,top
R6,"10k,1%",R_0402_1005Metric,21.4806,23.861,180.0,top
R7,470,R_0402_1005Metric,28.7704,15.9108,-90.0,top
R8,"10k,1%",R_0402_1005Metric,0.952,5.827,-90.0,top
R9,"5.1k,1%",R_0402_1005Metric,0.952,9.891,-90.0,top
TP1,TestPoint,PinHeader_1x01_P1.00mm_Vertical,24.681,25.004,0.0,top
TP14,TestPoint,PinHeader_1x01_P1.00mm_Vertical,23.411,43.038,0.0,top
TP15,TestPoint,PinHeader_1x01_P1.00mm_Vertical,25.443,43.038,0.0,top
TP2,TestPoint,PinHeader_1x01_P1.00mm_Vertical,24.681,26.274,0.0,top
TP3,TestPoint,PinHeader_1x01_P1.00mm_Vertical,25.0,33.77,90.0,top
TP4,TestPoint,PinHeader_1x01_P1.00mm_Vertical,25.0,32.5,90.0,top
U1,H7P20N0L128-M3H1,LQFP-128_14x14mm_P0.4mm_pad,17.5278,11.2372,0.0,top
U11,EA3036C,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,5.4818,34.0686,90.0,top
U2,LM2903A-VR,MSOP-8_3x3mm_P0.65mm,35.222,38.72,90.0,top
U3,LM2903A-VR,MSOP-8_3x3mm_P0.65mm,31.539,35.037,90.0,top
U4,LM2903A-VR,MSOP-8_3x3mm_P0.65mm,27.856,35.037,90.0,top
U5,USB3343,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,32.6566,26.894,0.0,top
U6,P25Q64SH-SSH-IR,SOP-8_3.9x4.9mm_P1.27mm,16.4514,23.0848,180.0,top
U7,CY7C68013A-56LTX,QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm,17.6353,32.7684,-90.0,top
U8,24C32,SOP-8_3.9x4.9mm_P1.27mm,14.14,41.2488,180.0,top
U9,CJ3439KDW,SOT-363_SC-70-6,9.2124,2.3472,180.0,top
Y2,24M,OSC_3225,20.998,40.752,0.0,top
